VOGAL,F1,F2,AMOSTRA
a,487.0560243128,1666.1994257558,PBSP
a,685.6312226028,1413.6598495282,PBSP
a,731.1140611517,1168.3211395452,PBSP
a,620.9227313898,1274.8812351905,PBSP
a,845.1943577343,1574.2857017859,PBSP
a,763.6359851752,1487.5813166426,PBSP
o,625.6385382856,1035.3827699462,PBSP
a,823.957780812,1453.7712372298,PBSP
a,780.0340372226,1462.1124118302,PBSP
a,622.5131714499,1475.4188525467,PBSP
o,578.7719976665,1297.0171170757,PBSP
a,774.8777215459,1355.383034566,PBSP
a,654.0683463869,1254.0217065528,PBSP
i,379.1975389704,1963.861494029,PBSP
e,613.2595958037,2014.4853797775,PBSP
o,552.6748808551,1004.1855721775,PBSP
e,656.1135526619,1847.628019128,PBSP
a,827.4988403611,1355.4979792399,PBSP
o,547.8059171514,1059.7599941606,PBSP
a,706.0809048347,1595.7993005344,PBSP
a,626.5558285525,1417.5553999866,PBSP
a,670.2465405197,1558.8313536178,PBSP
a,812.3867366194,1507.2659161951,PBSP
i,502.1722663254,1840.2531994226,PBSP
i,386.7218028634,1762.3632113692,PBSP
i,422.5200446178,1905.6127449739,PBSP
a,743.1270893143,1507.4563153777,PBSP
i,425.868089142,1865.230827013,PBSP
a,649.4521258942,1669.7239306857,PBSP
o,586.4898057442,1120.1710061334,PBSP
u,371.0027030064,1081.3918205514,PBSP
o,688.8945787749,1251.5219523816,PBSP
u,550.1258133279,925.4450251878,PBSP
o,560.6294718362,994.6518608068,PBSP
i,394.5485774777,2326.5612993585,PBSP
a,549.408348022,1301.6805985956,PBSP
i,413.6427546465,1675.4442987558,PBSP
o,529.5428523726,1113.4735680887,PBSP
a,500.627804135,1325.8089752758,PBSP
u,388.3634554815,886.7193200482,PBSP
u,461.6540370036,1089.5022169643,PBSP
o,616.8070083591,1184.680242203,PBSP
e,573.4596370377,2413.2052161292,PBSP
a,642.528162512,1361.1807323264,PBSP
a,660.2071397865,1344.2362401464,PBSP
a,631.3366027618,1583.0807525148,PBSP
e,735.1502158298,1656.3511841911,PBSP
i,485.8002845783,2287.6914079959,PBSP
i,442.8611788161,2126.694599193,PBSP
o,699.1497017182,966.990219043,PBSP
e,566.929840443,1375.4240084675,PBSP
a,580.3807769789,1498.2270509129,PBSP
a,707.2108803169,1339.5680415354,PBSP
a,751.3070328734,1593.8988040378,PBSP
e,606.5336179227,2003.9659685936,PBSP
o,563.0503898471,918.8109877558,PBSP
e,526.4144405898,1945.53331514,PBSP
a,669.0111742089,1309.181107386,PBSP
a,718.24360753,1721.5394611589,PBSP
e,629.3687078311,2283.0582439794,PBSP
u,444.0439443879,1039.1177984395,PBSP
a,787.7517119896,1597.7327652282,PBSP
e,495.2315482087,1688.0926513556,PBSP
u,439.0983447278,959.2417659281,PBSP
i,545.1883893158,1674.8827702376,PBSP
i,514.7819893274,1661.6841545926,PBSP
i,420.484988669,1924.4660877588,PBSP
e,527.9039003362,1932.7849110152,PBSP
e,617.3676862044,1984.2325634743,PBSP
u,412.2787714693,842.9147449543,PBSP
i,404.6621234463,1998.6597228243,PBSP
e,561.9391907677,2113.8974355097,PBSP
u,472.1631459086,1084.4660465461,PBSP
u,376.3581235881,983.7309093357,PBSP
u,370.5510778418,1056.3054684582,PBSP
e,584.8730028974,1989.7459201984,PBSP
i,550.8318067367,1852.9874908836,PBSP
i,434.9047010765,1482.0386585098,PBSP
o,586.5775594604,1009.3559222792,PBSP
i,421.6857353717,1902.412055124,PBSP
o,656.2940398952,1098.0485122044,PBSP
o,600.6593398332,1236.0444192641,PBSP
u,379.3103461602,1125.1782073235,PBSP
u,399.4785964217,866.6435320288,PBSP
u,417.9740592858,1044.9247261083,PBSP
o,722.2267436971,1132.6089144229,PBSP
e,623.2664871774,2196.6147727923,PBSP
o,565.1251633431,1133.966981912,PBSP
i,552.5128124613,1741.2813395681,PBSP
e,721.7156801177,2118.1304937785,PBSP
i,423.4912006621,1650.212745421,PBSP
i,457.0870273035,2110.6549335556,PBSP
i,451.1955126932,1806.3197544513,PBSP
e,540.8437144714,1721.5633434253,PBSP
o,584.5546080321,1029.8720849014,PBSP
e,631.0214050585,1715.0557143587,PBSP
e,565.0561808898,2052.5492679609,PBSP
e,665.3234066928,1775.4104596394,PBSP
o,598.181147806,1166.8192503291,PBSP
o,593.8571160091,1158.7544217025,PBSP
i,387.432268433,1581.9131613282,PBSP
e,669.9594475947,2108.7463593725,PBSP
i,471.518220042,1771.8105771258,PBSP
o,529.1605355486,1315.4021085854,PBSP
o,647.7361359627,951.1213525644,PBSP
u,426.5090232716,1087.5417433846,PBSP
o,653.4718514452,1115.2998798498,PBSP
i,427.0843401435,2249.3955064554,PBSP
e,649.1372643051,2123.5735303833,PBSP
u,491.7170960664,944.1878269127,PBSP
u,496.0468023517,1005.0308461107,PBSP
u,400.1182444286,1245.7343807419,PBSP
e,524.2121069892,2076.7079052011,PBSP
o,601.2892639525,1153.1744764516,PBSP
o,569.9262794451,1172.6453712548,PBSP
e,486.3921492459,2266.5179460794,PBSP
i,426.6238995503,2355.1257514255,PBSP
e,682.0417517244,2015.1203941391,PBSP
i,509.5846421229,2273.0303396467,PBSP
e,496.2717130207,2225.8698553972,PBSP
e,590.2113209207,1692.1064525642,PBSP
i,322.8078856492,1699.2442405999,PBSP
o,662.9763240239,1101.8021581888,PBSP
o,641.8835499465,1229.8376116455,PBSP
e,464.3513088374,1630.4630601778,PBSP
e,503.5534449447,2078.9553071924,PBSP
o,764.488143442,856.7494145733,PBSP
i,352.8099668551,1926.5761296886,PBSP
i,508.2793398593,1761.6957824437,PBSP
i,407.3906411603,1766.8313950906,PBSP
o,514.1157482999,931.3642069981,PBSP
o,570.9340525147,942.2247204287,PBSP
e,490.8458032472,1954.867888142,PBSP
e,630.1731986301,2182.3946345235,PBSP
u,438.6498679514,976.7727158474,PBSP
o,595.1020970024,1167.1454791624,PBSP
o,668.8982698411,1146.5247810105,PBSP
o,604.7120814155,1262.939643017,PBSP
e,643.0655238279,1432.83063175,PBSP
e,559.6330647113,1858.8242801305,PBSP
o,687.4569614571,1063.7418321972,PBSP
e,522.6013504463,1914.0925963914,PBSP
o,634.2954203094,1147.2701538455,PBSP
o,512.2787623085,911.6507266689,PBSP
e,559.7547512139,2056.7175385381,PBSP
o,620.0982606317,1146.7585333607,PBSP
o,626.9200599961,1044.1538543747,PBSP
e,699.236346289,2032.0918078859,PBSP
e,566.8097371246,2204.8398025243,PBSP
o,408.8006434281,1160.1420227344,PBSP
o,589.8134485363,1073.8454126571,PBSP
o,585.5743791089,1103.4216148944,PBSP
o,567.6931144253,1057.8162044281,PBSP
e,545.1026568478,2202.9963350134,PBSP
e,529.8389592825,2026.100364513,PBSP
e,549.3644805582,2314.6960986189,PBSP
e,572.8540707337,1808.2491390914,PBSP
o,577.2141183281,1092.6871826159,PBSP
e,567.0960918304,1790.2271768587,PBSP
e,644.4600891562,2052.0458419846,PBSP
o,571.4665485099,1054.4936335574,PBSP
e,651.6946817182,1999.9770048019,PBSP
e,538.3025230275,1829.4365745992,PBSP
e,550.356660728,2100.041733228,PBSP
o,673.8249546607,1139.5142298938,PBSP
e,535.4928090478,1907.5826234282,PBSP
e,565.7797102709,2103.7157110146,PBSP
e,495.6241420393,2112.0433111572,PBSP
e,497.9045244235,2165.9381162071,PBSP
o,577.6686077614,1412.906936334,PBSP
o,623.1182087311,924.5743085589,PBSP
o,667.843883336,1298.6358735479,PBSP
o,527.4887174288,1157.0723731809,PBSP
o,524.5974286991,1168.5799978859,PBSP
o,462.3395080798,1048.2233183226,PBSP
a,867.3617258293,1458.4325416077,PBSP
a,800.9778954468,1488.9631698395,PBSP
a,890.2005880593,1547.958735955,PBSP
i,275.9020253532,1918.9165752196,PBSP
a,944.4013017749,1661.5630218357,PBSP
a,873.9202125945,1448.5673182966,PBSP
a,839.4205790696,1347.1237944293,PBSP
a,812.4039184611,1512.0386962305,PBSP
a,905.0556997536,1507.0861470855,PBSP
i,446.7457988312,2279.9891953624,PBSP
a,866.9694908699,1626.3811835898,PBSP
a,825.6850253256,1773.7325562028,PBSP
e,685.6587783187,1997.1400491683,PBSP
u,488.1585049198,833.7503212209,PBSP
a,714.5080014387,1751.4476047387,PBSP
a,768.8928799333,1761.0759905701,PBSP
a,824.2100543089,1301.0741525304,PBSP
o,682.0330112958,909.6062780411,PBSP
a,876.6038975035,1429.6426100514,PBSP
u,441.3519999659,672.9082739679,PBSP
a,735.5487272699,1384.7417242382,PBSP
a,864.1539065355,1563.9733015419,PBSP
e,606.1126548815,1854.1529807308,PBSP
a,678.2093703856,1631.8376892726,PBSP
i,349.9315984254,1586.6769417764,PBSP
a,852.4273614836,1481.5793981434,PBSP
a,937.7620526075,1559.3895415875,PBSP
a,1036.4401064674,1595.1292189013,PBSP
a,823.682224657,1568.8517580687,PBSP
o,761.9870404334,1249.172048099,PBSP
o,764.2359338367,1169.8421381532,PBSP
e,747.2236593907,1804.817903521,PBSP
a,854.5241921924,1577.5974184286,PBSP
o,824.2580287173,1283.8358371699,PBSP
u,533.3992295842,806.4932873794,PBSP
i,381.2259693536,2410.5134134308,PBSP
o,747.2325097453,1274.0285211122,PBSP
a,627.6299558444,1733.4522850457,PBSP
o,769.2215333011,1349.5001474678,PBSP
o,694.3141714564,976.7343492832,PBSP
o,611.780856178,1229.7251603729,PBSP
u,534.536080255,1050.6164139319,PBSP
i,488.1874254282,1826.2727422482,PBSP
i,312.209424948,1905.1471998235,PBSP
o,797.6967019228,1044.3983078523,PBSP
o,683.1948507052,1293.8376126314,PBSP
e,613.0298712314,1829.1162834619,PBSP
u,444.9820257839,1332.7341359407,PBSP
o,811.28691442,1345.9741639668,PBSP
i,229.8858533484,1784.9393718579,PBSP
i,375.061603771,2242.6388531079,PBSP
u,502.6463315449,992.2601122121,PBSP
u,726.2045527248,1253.8546519814,PBSP
a,763.4627643332,1354.9496803034,PBSP
i,368.3482044246,1989.4069719542,PBSP
a,767.2045964493,1571.9488126656,PBSP
a,908.7085264088,1531.6922189614,PBSP
a,681.8905564851,1376.1549549873,PBSP
e,762.8499373476,1836.5613013605,PBSP
a,799.539320659,1585.284493647,PBSP
e,758.8384367167,2071.4062943849,PBSP
i,285.7650126252,1893.0911252351,PBSP
o,755.0978698589,880.7888975667,PBSP
a,832.943604101,1404.2256352788,PBSP
u,351.8192806304,987.3876640784,PBSP
a,829.8207683553,1494.311539629,PBSP
i,336.0000085892,1867.3122253386,PBSP
e,797.8320698771,1821.5050239731,PBSP
e,549.4984973319,1838.8333292895,PBSP
o,585.5718726126,1137.9558349138,PBSP
e,698.5775513704,2002.9698017049,PBSP
e,653.0664268292,1939.8740706634,PBSP
u,695.4685929779,1105.0358151347,PBSP
o,727.947384207,1383.3687938722,PBSP
o,696.5299866673,972.6814021222,PBSP
o,746.0821552157,1143.3027096355,PBSP
o,617.571069862,963.2557898291,PBSP
o,712.378662761,1079.7445678265,PBSP
e,601.0255195635,1790.3925618935,PBSP
o,818.9325707184,1155.6508850463,PBSP
o,681.2864256503,1268.8404481902,PBSP
e,446.2433941226,2072.7031370795,PBSP
i,334.1443405768,1964.6617221006,PBSP
i,448.8690077785,1972.0498834893,PBSP
e,669.3725315396,1717.6298139423,PBSP
i,401.7996050652,1691.8884752481,PBSP
i,372.1813578567,1836.7930092583,PBSP
i,484.1143720408,2039.071061818,PBSP
e,724.4179771898,1709.6978191752,PBSP
u,593.2876559583,1236.3227318633,PBSP
e,675.8200805754,1771.9263027842,PBSP
i,332.6533056112,2044.2992786454,PBSP
i,122.5175150495,2091.9308610061,PBSP
u,472.9599016428,1050.7660401161,PBSP
e,654.0579764744,1716.746529378,PBSP
e,700.3213376504,1870.2625635483,PBSP
e,636.999732478,1767.0255205486,PBSP
i,320.8954963956,2403.69926646,PBSP
u,348.4747168386,1172.3885957059,PBSP
e,621.3075354851,1608.6583303093,PBSP
i,434.9540839043,2593.533076507,PBSP
i,328.7466752753,2198.7221202365,PBSP
e,599.632095796,2125.616550333,PBSP
i,391.3427225693,2024.160295491,PBSP
i,411.0578425358,2173.9788439831,PBSP
e,657.1889057244,1626.1097837513,PBSP
e,399.4666137299,2217.7037434134,PBSP
e,896.8708684731,2102.9489654796,PBSP
o,783.4963105855,1229.6337246981,PBSP
e,523.6171940258,2158.0550688477,PBSP
i,500.7575508405,2260.7298918739,PBSP
e,659.1351146856,2133.5075823386,PBSP
i,486.3281088917,2120.8184463438,PBSP
e,572.2952675974,2174.9963287,PBSP
o,530.998833078,802.3056701269,PBSP
e,644.8332768569,1967.4932769273,PBSP
e,623.9422204218,1712.1312488113,PBSP
o,752.3070490296,1164.2554295953,PBSP
i,344.5435037575,2217.9715396142,PBSP
e,660.914742203,2129.3995169155,PBSP
i,304.7853933122,2020.864492478,PBSP
i,310.0537198782,1987.6841630669,PBSP
i,427.2903275648,2206.847475036,PBSP
o,542.8335694852,1337.7291539758,PBSP
u,487.2500417532,771.6269861081,PBSP
o,548.6646270353,1138.1197083043,PBSP
e,844.5082330989,2009.0816992324999,PBSP
o,635.1235014145,1452.1937842137,PBSP
o,764.8687700392,1292.4631023225,PBSP
u,539.368525253,1156.192234902,PBSP
u,515.0388008386,1287.029309839,PBSP
o,632.7260242402,883.7393587937,PBSP
o,678.8951146616,814.0855388689,PBSP
o,666.6249652643,1475.8774712938,PBSP
o,853.1238513892,1283.0029605946,PBSP
o,553.8592491538,1650.2324640186,PBSP
e,742.8819443874,1765.5046417774,PBSP
e,811.177757862,1901.3651581222,PBSP
o,695.4095603956,1111.7772659324,PBSP
e,658.2446065312,1742.379858217,PBSP
e,730.8055705325,1838.0736133884,PBSP
e,527.1322584982,2190.4821156076,PBSP
e,762.4581959969,1852.4166323895,PBSP
o,725.4539924308,995.7463073257,PBSP
e,832.8580039078,2043.3360794179,PBSP
e,655.3889681683,1609.936023009,PBSP
e,705.5978556478,1917.389960652,PBSP
o,690.4389112359,1215.1659465565,PBSP
o,639.899252727,993.6785454619,PBSP
e,678.9132082146,2184.1145293925,PBSP
o,681.1586258193,839.4783451174,PBSP
o,680.1020544289,1117.5201125296,PBSP
e,625.6315264075,2026.1574182731,PBSP
e,541.4305017385,1893.0309841068,PBSP
o,673.235191318,954.6555830943,PBSP
e,795.9209340605,1985.1738082434,PBSP
e,531.2190782371,1727.1893620629,PBSP
e,613.438603443,2163.2613847676,PBSP
e,670.0963095389,2027.6598618,PBSP
